2024-02-14 16:34:48,793: root: INFO: MLtrader : Executing the initialize lifecycle method
2024-02-14 16:34:49,736: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-02-14 16:34:49,737: root: INFO: MLtrader : Executing the before_market_opens lifecycle method
2024-02-14 16:34:49,738: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-02-14 16:34:49,738: root: INFO: MLtrader : Executing the before_starting_trading lifecycle method
2024-02-14 16:34:49,739: root: INFO: MLtrader : Executing the on_trading_iteration lifecycle method at 2024-02-14 16:34:49
2024-02-14 16:34:49,739: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,745: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,745: root: INFO: New market order of | 43.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.
2024-02-14 16:34:49,748: root: INFO: MLtrader : Trading iteration ended at 2024-02-14 16:34:49
2024-02-14 16:34:49,748: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,748: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,748: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,749: root: INFO: market order of | 43.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-14 16:34:49,749: root: INFO: market order of | 43.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-14 16:34:49,749: root: INFO: Filled Transaction: buy 43.0 of SPY at 469.48999023 USD per share
2024-02-14 16:34:49,749: root: INFO: market order of | 43.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-02-14 16:34:49,752: root: INFO: MLtrader : Sleeping for 86400 seconds
2024-02-14 16:34:49,752: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-02-14 16:34:49,752: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-02-14 16:34:49,753: root: INFO: MLtrader : The market is not currently open, skipping this trading iteration
2024-02-14 16:34:49,753: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,753: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,754: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,754: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,754: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,755: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,755: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,755: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,756: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,756: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,756: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,756: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-14 16:34:49,757: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-14 16:34:49,757: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-14 16:34:49,757: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
