datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-20 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-22 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-23 09:30:00-05:00,100000.0,119902.11938476562,0.0
2023-12-26 09:30:00-05:00,99991.17907714844,119902.11938476562,-8.820922851560109e-05
2023-12-27 09:30:00-05:00,99933.63928222656,119902.11938476562,-0.0005754487091054195
2023-12-28 09:30:00-05:00,99873.1591796875,119902.11938476562,-0.0006052026422079804
2023-12-29 09:30:00-05:00,99889.53979492188,119902.11938476562,0.00016401418928690958
2023-12-30 09:30:00-05:00,99889.53979492188,119902.11938476562,0.0
